Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C557591
C1,0402,1,22uF/50V,C1532
C10,0402,1,100nF,C1525
"C11, C13, C9",0805,3,10uF/50V,C440198
C12,CP_EIA-3528-21_Kemet-B,1,47uF/10V,C136658
"C14, C2",0603,2,22uF/50V,C59461
"C15, C3, C4, C5",0402,4,0.1uF,C307331
C16,0805,1,2.2uF,C2981733
C6,0603,1,3.3nF,C1613
C7,0603,1,6.8nF,C1631
C8,CP_Elec_6.3x3,1,82uF,C494840
"D1, D2",0603,2,LED,C2290
D3,D_SMB,1,SS510,C330488
"D4, D5",D_SOD-123,2,B5819W SL,C8598
FB1,0603,1,FerriteBead_Small,C1002
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C709357
J2,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02_Pin,
J3,CONN_S3B-XH-ALFSN_JST,1,S3B-XH-ALFSN,C8891
J4,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
J5,PinHeader_2x01_P1.27mm_Vertical_SMD,1,Conn_01x02_Pin,
L1,L_Bourns_SRN8040TA,1,22uH/2.5A,C396428
L2,L_Changjiang_FNR4030S,1,4.7uH,C492259
LED1,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03_Pin,
"R1, R14, R8, R9",0402,4,100K,C25741
"R10, R11",0402,2,5.1K,C25905
R12,0402,1,56.2K,C2692949
R13,0402,1,120R,C25079
"R15, R19",0402,2,10K,C25744
"R16, R4, R5",0402,3,2.2K,C25879
"R17, R18",0402,2,0R,C17168
R2,0402,1,133K,C321294
R3,0402,1,44.2K,C140153
R6,0402,1,348K,C102992
R7,0402,1,12K,C25752
U1,ESP32-S3-MINI-1,1,ESP32-C3-MINI-1,C3013941
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN-L/TR,C8963
U4,SOT-23-6,1,RY8411,C2935411
U5,SOT-23-6,1,SRV05-4,
U6,TI_SO-PowerPAD-8_ThermalVias,1,TPS54360BDDAR,C44377
